Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/github.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/github.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/github.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/githubactions,GET,com.nokia.eda.github.v1alpha1.GitHubActionList,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/githubinstances,GET,com.nokia.eda.github.v1alpha1.GitHubInstanceList,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/githubissues,GET,com.nokia.eda.github.v1alpha1.GitHubIssueList,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions,DELETE,com.nokia.eda.github.v1alpha1.GitHubActionList,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions,GET,com.nokia.eda.github.v1alpha1.GitHubActionList,git_hub_action_list,true,true,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions,POST,com.nokia.eda.github.v1alpha1.GitHubAction,git_hub_action,true,false,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/_deleted,GET,com.nokia.eda.github.v1alpha1.GitHubAction_DeletedResources,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name},DELETE,Status,git_hub_action,true,false,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name},GET,com.nokia.eda.github.v1alpha1.GitHubAction,git_hub_action,true,true,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name},PATCH,com.nokia.eda.github.v1alpha1.GitHubAction,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name},PUT,com.nokia.eda.github.v1alpha1.GitHubAction,git_hub_action,true,false,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubactions/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances,DELETE,com.nokia.eda.github.v1alpha1.GitHubInstanceList,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances,GET,com.nokia.eda.github.v1alpha1.GitHubInstanceList,git_hub_instance_list,true,true,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances,POST,com.nokia.eda.github.v1alpha1.GitHubInstance,git_hub_instance,true,false,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/_deleted,GET,com.nokia.eda.github.v1alpha1.GitHubInstance_DeletedResources,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name},DELETE,Status,git_hub_instance,true,false,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name},GET,com.nokia.eda.github.v1alpha1.GitHubInstance,git_hub_instance,true,true,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name},PATCH,com.nokia.eda.github.v1alpha1.GitHubInstance,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name},PUT,com.nokia.eda.github.v1alpha1.GitHubInstance,git_hub_instance,true,false,true
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubinstances/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubissues,DELETE,com.nokia.eda.github.v1alpha1.GitHubIssueList,,false,false,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubissues,GET,com.nokia.eda.github.v1alpha1.GitHubIssueList,git_hub_issue_list,true,true,false
/apps/github.eda.nokia.com/v1alpha1/namespaces/{namespace}/githubissues,POST,com.nokia.eda.github.v1alpha1.GitHubIssue,git_hub_issue,true,false,true
